име,град,congruence-score,congruence-verdict,congruence-max-time,range-score,range-verdict,range-max-time,strip-score,strip-verdict,strip-max-time,точки
AIP,Русе,76.47058823529412,OK OK OK OK OK OK OK OK OK OK OK OK OK TL TL TL TL,N/A,91.66666666666666,OK OK OK OK OK OK OK OK OK OK TL OK,N/A,100.00000000000001,OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK,0.004,268.1372549019608
PVM,София,58.82352941176471,OK OK OK OK OK OK OK OK OK OK TL TL RE RE RE RE RE,N/A,99.99999999999999,OK OK OK OK OK OK OK OK OK OK OK OK,0.065,100.00000000000001,OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK,0.004,258.8235294117647
SIS,Шумен,52.94117647058824,OK OK OK OK OK OK OK OK OK TL TL TL TL TL TL TL TL,N/A,99.99999999999999,OK OK OK OK OK OK OK OK OK OK OK OK,0.036,100.00000000000001,OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK,0.004,252.94117647058823
EID,София,52.94117647058824,OK OK OK OK OK OK OK OK OK TL TL TL TL TL TL TL TL,N/A,99.99999999999999,OK OK OK OK OK OK OK OK OK OK OK OK,0.251,100.00000000000001,OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK,0.009,252.94117647058823
KVS,София,76.47058823529412,OK OK OK OK OK OK OK OK OK OK OK OK OK TL TL TL TL,N/A,99.99999999999999,OK OK OK OK OK OK OK OK OK OK OK OK,0.034,66.66666666666667,OK OK OK OK OK OK OK OK OK OK WA OK WA WA WA WA OK WA,0.004,243.13725490196077
MTT,София,47.05882352941177,OK OK OK OK OK OK OK OK TL TL TL TL TL TL TL TL TL,N/A,99.99999999999999,OK OK OK OK OK OK OK OK OK OK OK OK,0.039,94.44444444444446,OK OK OK OK WA OK OK OK OK OK OK OK OK OK OK OK OK OK,0.004,241.50326797385623
DDA,Варна,47.05882352941177,OK OK OK OK OK OK OK OK TL TL TL TL TL TL TL TL TL,N/A,91.66666666666666,OK OK OK OK OK OK OK OK WA OK OK OK,0.039,100.00000000000001,OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK,0.004,238.72549019607845
KKD,София,76.47058823529412,OK OK OK OK OK OK OK OK OK OK OK OK OK TL TL TL TL,N/A,99.99999999999999,OK OK OK OK OK OK OK OK OK OK OK OK,0.033,61.11111111111112,OK OK OK OK OK OK OK OK OK TL TL OK TL TL TL TL OK TL,N/A,237.5816993464052
ODR,София,76.47058823529412,OK OK OK OK OK OK OK OK OK OK OK OK OK TL TL TL TL,N/A,91.66666666666666,OK OK OK OK OK OK OK OK TL OK OK OK,N/A,61.11111111111112,OK OK OK OK OK OK OK OK OK TL TL OK TL TL TL TL OK TL,N/A,229.2483660130719
VGN,Шумен,58.82352941176471,OK OK OK OK OK OK OK OK OK TL OK TL TL TL TL TL TL,N/A,91.66666666666666,OK OK OK OK OK OK OK OK TL OK OK OK,N/A,72.22222222222223,OK OK OK OK OK OK OK OK OK OK WA OK OK WA WA WA OK WA,0.003,222.7124183006536
BLL,София,17.647058823529413,OK OK WA WA WA WA WA WA WA WA OK WA WA WA TL TL TL,N/A,91.66666666666666,OK OK OK OK OK OK OK OK TL OK OK OK,N/A,94.44444444444446,OK OK OK WA OK OK OK OK OK OK OK OK OK OK OK OK OK OK,0.004,203.75816993464053
KHK,Варна,76.47058823529412,OK OK OK OK OK OK OK OK OK OK OK OK OK TL TL TL TL,N/A,91.66666666666666,OK OK OK OK OK OK OK OK TL OK OK OK,N/A,33.333333333333336,OK WA WA WA OK WA OK WA OK WA WA OK WA WA WA WA OK WA,0.009,201.47058823529412
