име,град,alt-score,alt-verdict,alt-max-time,m3-score,m3-verdict,m3-max-time,power-score,power-verdict,power-max-time,точки
BSS,Варна,92.3076923076923,WA OK OK OK OK OK OK OK OK OK OK OK OK,0.005,23.33333333333333,OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA OK WA WA WA OK OK WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA,0.005,100.00000000000006,OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK,0.005,215.6410256410257
VPG,София,100.0,OK OK OK OK OK OK OK OK OK OK OK OK OK,0.006,77.7777777777779,OK WA OK OK OK OK WA OK OK OK OK OK OK OK WA OK OK OK OK OK OK OK OK OK OK WA OK OK OK OK OK OK OK OK WA WA OK WA OK OK OK OK OK OK OK OK OK OK OK OK OK WA OK OK OK WA OK OK OK OK OK OK OK WA OK OK OK OK WA OK OK WA OK OK OK WA OK WA WA OK WA OK WA WA OK WA OK WA OK OK,0.006,36.8421052631579,OK OK RE RE OK OK OK OK OK RE RE RE RE RE RE RE RE RE RE,N/A,214.61988304093578
TGM,София,23.076923076923077,OK OK OK TL TL TL TL TL TL TL TL TL TL,N/A,87.77777777777793,OK WA OK OK OK OK OK OK WA OK OK WA OK OK OK OK OK OK OK OK OK OK OK OK OK OK WA OK WA OK OK OK OK OK OK OK OK OK WA OK WA OK OK WA OK OK OK OK OK OK OK OK OK OK OK OK OK WA OK OK OK WA OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK WA OK OK OK OK OK OK,0.005,100.00000000000006,OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK,0.005,210.85470085470106
EID,София,100.0,OK OK OK OK OK OK OK OK OK OK OK OK OK,0.005,61.111111111111185,OK WA OK WA OK OK WA OK OK OK WA WA OK OK OK WA OK OK OK OK OK OK WA OK OK WA WA WA WA WA OK OK OK OK WA WA OK OK OK WA WA OK OK OK WA WA WA OK OK OK OK WA OK OK OK WA WA WA WA WA OK WA WA OK OK OK OK OK OK OK OK WA WA OK OK OK OK OK WA OK OK OK WA OK OK WA OK WA WA WA,0.005,47.36842105263158,OK OK OK OK OK OK WA OK WA OK OK WA WA WA WA WA WA WA WA,0.007,208.4795321637428
DYS,Варна,7.6923076923076925,OK WA WA WA WA WA WA WA WA WA WA WA WA,0.005,100.00000000000018,OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK,0.006,100.00000000000006,OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK,0.011,207.69230769230793
GNI,София,23.076923076923077,OK OK OK TL TL TL TL TL TL TL TL TL TL,N/A,83.33333333333347,OK OK OK OK OK OK WA OK OK OK OK OK OK OK WA OK WA OK OK OK OK OK OK OK OK WA OK OK OK OK OK OK OK OK WA WA OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK WA OK OK OK OK OK OK OK OK OK OK OK OK OK WA OK OK WA OK OK WA OK OK OK OK OK WA OK OK WA WA WA OK OK WA OK OK OK OK,0.006,100.00000000000006,OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK,0.012,206.4102564102566
VYK,Хасково,23.076923076923077,OK OK OK TL TL TL TL TL TL TL TL TL TL,N/A,78.88888888888901,WA OK WA OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK WA OK OK OK OK OK OK WA WA WA WA WA WA OK OK OK OK OK WA WA WA OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK WA OK OK OK OK WA WA OK OK WA WA OK OK OK OK OK OK OK WA OK WA OK OK OK OK OK,0.005,100.00000000000006,OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK,0.005,201.96581196581215
ISP,София,100.0,OK OK OK OK OK OK OK OK OK OK OK OK OK,0.005,98.88888888888907,OK WA OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK,0.005,0,Compilation error,N/A,198.88888888888908
TCT,София,100.0,OK OK OK OK OK OK OK OK OK OK OK OK OK,0.005,67.77777777777787,WA WA WA WA OK OK OK OK WA OK OK WA OK OK OK OK WA OK OK OK OK OK WA OK OK OK OK WA OK WA OK OK OK OK OK OK OK WA OK WA WA OK OK OK WA WA WA OK OK OK OK OK OK WA OK OK OK WA OK WA OK WA WA WA WA WA OK OK OK OK OK OK WA OK OK WA OK OK OK OK OK OK OK OK OK OK WA OK WA WA,0.006,5.2631578947368425,OK WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA,0.012,173.04093567251473
NNN,Варна,23.076923076923077,OK OK OK TL TL TL TL TL TL TL TL TL TL,N/A,55.555555555555614,OK WA WA WA OK OK OK OK OK OK OK OK WA WA WA WA WA WA OK OK OK OK OK OK WA WA WA WA WA WA OK OK OK OK OK OK OK OK OK OK OK OK WA WA WA WA WA OK OK OK OK OK OK OK OK WA OK OK OK WA OK OK WA OK WA WA OK WA WA WA WA OK WA WA OK OK WA WA WA WA WA WA OK OK WA OK OK WA OK WA,0.005,78.94736842105266,OK OK OK OK WA OK OK OK OK OK OK OK OK WA WA OK OK WA OK,0.005,157.57984705353135
