име,град,long-score,long-verdict,long-max-time,sdnf-score,sdnf-verdict,sdnf-max-time,solitaire-score,solitaire-verdict,solitaire-max-time,точки
DTP,Плевен,18.181818181818183,OK OK WA TL TL TL TL TL TL TL TL,N/A,20.0,WA OK OK WA WA WA WA OK WA WA WA WA WA WA WA WA WA OK TL TL,N/A,100.0,OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK,0.006,138.1818181818182
MEI,Варна,27.272727272727273,OK OK OK WA WA WA WA WA TL WA WA,N/A,10.0,WA OK OK WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA RE RE,N/A,100.0,OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK,0.004,137.27272727272728
DYS,Варна,27.272727272727273,OK OK OK TL TL TL TL TL TL TL TL,N/A,90.0,OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK TL TL,N/A,18.75,OK OK WA WA WA WA OK WA WA RE WA WA WA RE RE WA,N/A,136.02272727272728
FAA,Хасково,0.0,WA WA WA WA WA WA WA WA WA WA WA,0.006,30.0,OK OK OK OK OK OK WA WA WA WA WA WA WA WA WA WA WA WA WA WA,0.005,100.0,OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK,0.01,130.0
MMK,Плевен,27.272727272727273,OK OK OK TL TL TL TL TL TL TL TL,N/A,0.0,WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA,0.002,100.0,OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK,0.005,127.27272727272728
VLA,Плевен,27.272727272727273,OK OK OK WA WA WA WA WA WA WA WA,0.004,30.0,OK OK OK OK OK OK WA WA WA WA WA WA WA WA WA WA WA WA WA WA,0.002,68.75,OK OK WA OK WA OK WA OK OK WA WA OK OK OK OK OK,0.005,126.02272727272728
YRV,Плевен,27.272727272727273,OK OK OK TL TL TL TL TL TL TL TL,N/A,90.0,OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK TL TL,N/A,0.0,WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA,0.005,117.27272727272728
DPK,Габрово,81.81818181818183,OK OK OK OK OK OK OK OK OK TL TL,N/A,30.0,OK OK OK OK OK OK WA WA WA WA WA WA WA WA WA WA WA WA WA WA,0.003,0.0,WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA,0.005,111.81818181818183
ISL,Варна,0.0,WA WA WA WA WA WA WA WA WA WA WA,0.005,30.0,OK OK OK OK OK OK WA WA WA WA WA WA WA WA WA WA WA WA WA WA,0.005,81.25,OK OK OK OK OK OK OK OK OK WA OK OK OK WA WA OK,0.005,111.25
MJD,Варна,36.36363636363637,OK OK OK OK WA WA WA WA WA WA WA,0.005,30.0,OK OK OK OK OK OK WA WA WA WA WA WA WA WA WA WA WA WA WA WA,0.005,43.75,OK OK WA WA OK WA OK WA WA WA WA WA WA OK OK OK,0.004,110.11363636363637
SIS,Варна,27.272727272727273,OK OK OK WA WA WA WA WA WA WA WA,0.005,30.0,OK OK OK OK OK OK WA WA WA WA WA WA WA WA WA WA WA WA WA WA,0.005,50.0,OK OK OK OK OK TL OK TL TL TL TL OK TL TL TL OK,N/A,107.27272727272728
VPM,Благоевград,27.272727272727273,OK OK OK TL TL TL TL TL TL TL TL,N/A,15.0,OK OK OK WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA TL TL,N/A,56.25,OK OK OK OK OK TL OK TL TL TL TL OK OK TL TL OK,N/A,98.52272727272728
ZSK,Плевен,27.272727272727273,OK OK OK WA WA WA WA WA WA WA WA,0.005,30.0,OK OK OK OK OK OK WA WA WA WA WA WA WA WA WA WA WA WA RE RE,N/A,37.5,OK WA WA WA OK WA OK WA WA WA WA OK WA WA OK OK,0.005,94.77272727272728
IIP,София,27.272727272727273,OK OK OK WA WA WA WA WA WA WA WA,0.006,30.0,OK OK OK OK OK OK WA WA WA WA WA WA WA WA WA WA WA WA WA WA,0.005,37.5,OK WA WA WA OK WA OK WA WA WA WA OK WA WA OK OK,0.004,94.77272727272728
DND,София,27.272727272727273,OK OK OK WA WA WA WA WA WA WA WA,0.005,30.0,OK OK OK OK OK OK WA WA WA WA WA WA WA WA WA WA WA WA WA WA,0.005,37.5,OK WA WA WA OK WA OK WA WA WA WA OK WA WA OK OK,0.007,94.77272727272728
DRP,София,9.090909090909092,WA OK WA TL TL TL TL TL TL TL TL,N/A,30.0,OK OK OK OK OK OK WA WA WA WA WA WA WA WA WA WA WA WA WA WA,0.017,50.0,OK OK WA WA OK WA OK WA WA WA WA OK WA OK OK OK,0.006,89.0909090909091
YRS,София,36.36363636363637,OK OK OK WA WA WA WA WA OK WA WA,0.004,0,Compilation error,N/A,50.0,OK OK OK OK OK TL OK TL TL TL TL OK TL TL TL OK,N/A,86.36363636363637
KNA,Плевен,36.36363636363637,OK OK OK OK WA WA WA WA WA WA WA,0.004,30.0,OK OK OK OK OK OK WA WA WA WA WA WA WA WA WA WA WA WA WA WA,0.003,18.75,OK WA WA WA WA WA WA WA WA WA WA OK WA WA WA OK,0.009,85.11363636363637
