име,град,bin0-score,bin0-verdict,bin0-max-time,palc-score,palc-verdict,palc-max-time,rot-score,rot-verdict,rot-max-time,точки
HHT,Велико Търново,15.0,OK OK OK TL TL TL TL TL TL WA WA WA WA TL WA WA WA TL TL TL,N/A,95.0,OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK WA OK OK,0.005,0,Compilation error,N/A,110.0
SPT,София,80.0,OK OK OK WA WA WA OK OK OK OK OK OK WA OK OK OK OK OK OK OK,0.004,25.0,OK OK OK OK OK TL WA WA WA WA TL TL WA WA WA WA WA TL WA WA,N/A,0.0,TL TL TL TL TL TL RE RE WA WA WA WA WA RE RE WA RE WA WA RE,N/A,105.0
IAD,София,0.0,WA WA WA TL TL TL WA WA WA WA WA WA TL TL TL WA TL TL WA WA,N/A,0.0,WA WA WA WA WA WA WA WA TL TL WA WA TL WA WA TL TL TL TL TL,N/A,100.0,OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK,0.005,100.0
AII,Плевен,0,Compilation error,N/A,100.0,OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK,0.004,0,Compilation error,N/A,100.0
VPV,Габрово,30.0,OK OK OK OK OK OK WA WA WA WA WA WA WA WA WA WA WA WA WA WA,0.006,0.0,WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA,0.007,70.0,WA OK OK OK OK OK OK OK WA OK WA WA OK OK OK WA OK OK OK WA,0.026,100.0
BSD,Бургас,0.0,WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA,0.005,100.0,OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK,0.005,0,Compilation error,N/A,100.0
NMM,Варна,10.0,WA WA WA WA WA WA OK OK WA WA WA WA WA WA WA WA WA WA WA WA,0.005,80.0,OK OK OK OK OK OK OK OK OK WA OK OK OK OK OK OK WA WA OK WA,0.005,10.0,WA OK WA TL TL TL OK TL WA TL WA WA WA WA WA WA WA TL WA WA,N/A,100.0
TTG,Стара Загора,35.0,OK OK OK TL TL TL OK OK OK OK WA WA TL TL TL TL TL TL TL TL,N/A,60.0,OK OK OK OK OK OK OK OK TL TL OK OK TL OK OK TL TL TL TL TL,N/A,0.0,TL TL TL TL TL TL WA WA WA WA WA WA WA WA WA WA WA WA WA WA,N/A,95.0
VVS,Русе,45.0,OK OK OK TL TL TL OK OK OK OK OK OK WA TL TL TL TL TL TL TL,N/A,20.0,OK OK OK OK WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA,0.005,30.0,OK OK OK OK OK OK WA WA WA WA WA WA WA WA WA WA WA WA WA WA,0.005,95.0
GBB,Шумен,5.0,WA OK WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA,0.005,80.0,OK OK OK OK OK OK OK OK OK WA OK OK OK OK OK OK WA WA OK WA,0.005,0,Compilation error,N/A,85.0
