име,град,beautiful-score,beautiful-verdict,beautiful-max-time,flowers-score,flowers-verdict,flowers-max-time,sheep-score,sheep-verdict,sheep-max-time,точки
LG,София,85.0,OK OK OK OK OK OK OK OK WA OK OK OK OK OK OK OK OK TL TL OK,N/A,100.0,OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK,0.006,35.0,OK OK OK OK OK OK WA WA WA TL WA TL TL TL TL TL TL TL OK TL,N/A,220.0
PIU,Пловдив,50.0,OK OK TL TL OK OK OK OK OK OK OK TL TL TL TL TL TL TL TL OK,N/A,100.0,OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK,0.008,70.0,OK OK OK OK OK OK OK OK OK WA OK WA OK WA WA OK OK WA OK WA,0.198,220.0
VVB,Пловдив,100.0,OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK,0.109,100.0,OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK,0.005,10.0,WA WA OK OK WA WA WA TL WA WA TL TL TL TL TL TL TL TL WA WA,N/A,210.0
VMF,София,100.0,OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK,0.108,100.0,OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK,0.005,5.0,WA OK WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA,0.005,205.0
OMY,София,95.0,WA OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK,0.005,100.0,OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK,0.005,10.0,WA WA OK WA OK WA TL WA WA TL TL WA TL TL TL WA TL TL WA TL,N/A,205.0
GGE,Плевен,100.0,OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK,0.11,100.0,OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK,0.005,5.0,WA WA WA WA OK WA WA WA WA WA WA WA WA TL TL WA WA TL WA WA,N/A,205.0
KSD,Варна,100.0,OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK,0.108,100.0,OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK,0.154,0.0,WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA,0.005,200.0
LDK,София,100.0,OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK,0.108,100.0,OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK,0.148,0.0,WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA,0.005,200.0
ROP,Варна,100.0,OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK,0.109,100.0,OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK,0.006,0.0,WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA,0.044,200.0
ANY,София,100.0,OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK,0.116,100.0,OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK,0.006,0.0,WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA,0.005,200.0
