име,град,beautiful-score,beautiful-verdict,beautiful-max-time,flowers-score,flowers-verdict,flowers-max-time,sheep-score,sheep-verdict,sheep-max-time,точки
AIP,Видин,40.0,OK OK TL TL OK OK OK OK OK OK TL TL TL TL TL TL TL TL TL TL,N/A,0,Compilation error,N/A,0,Compilation error,N/A,40.0
NDD,Шумен,20.0,WA TL TL TL TL TL OK OK OK OK TL TL WA WA WA WA WA WA TL TL,N/A,5.0,WA WA WA WA WA WA WA OK WA WA WA WA WA WA WA WA WA WA WA WA,0.084,0.0,WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA,0.038,25.0
DED,Шумен,0,Compilation error,N/A,25.0,WA WA OK WA WA OK WA OK WA WA OK WA WA WA OK WA WA WA WA WA,0.005,0.0,WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA,0.005,25.0
MBB,София,0,Compilation error,N/A,25.0,WA WA OK WA WA OK WA OK TL TL OK WA WA WA OK WA TL TL TL TL,N/A,0,Compilation error,N/A,25.0
BAB,Варна,15.0,OK WA WA WA WA WA OK WA WA OK WA WA WA WA WA WA WA WA WA WA,0.004,5.0,WA WA WA WA WA WA WA OK WA WA WA WA WA WA WA WA WA WA WA WA,0.005,0,Compilation error,N/A,20.0
EDY,Русе,0,Compilation error,N/A,15.0,OK WA WA WA WA WA WA OK WA WA OK WA WA WA WA WA WA WA WA WA,0.003,0,Compilation error,N/A,15.0
IIM,Плевен,0.0,WA WA TL TL WA WA WA WA WA WA TL TL TL TL TL TL TL TL TL TL,N/A,15.0,OK WA WA WA WA WA WA OK WA WA WA WA WA WA WA WA OK WA WA WA,0.005,0,Compilation error,N/A,15.0
GMS,Варна,10.0,OK WA WA WA WA WA WA WA WA OK WA WA WA WA WA WA WA WA WA WA,0.005,0,Compilation error,N/A,0,Compilation error,N/A,10.0
PLT,София,10.0,WA WA WA WA WA WA OK WA WA OK WA WA WA WA WA WA WA WA WA WA,0.004,0.0,WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA,0.006,0.0,WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA,0.007,10.0
PPM,Русе,5.0,WA WA WA WA WA WA WA OK WA WA WA WA WA WA WA WA WA WA WA WA,0.005,0.0,WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA,0.004,0.0,WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA,0.005,5.0
LSN,Варна,5.0,OK WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA,0.004,0.0,WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA,0.005,0,Compilation error,N/A,5.0
TII,Плевен,0.0,WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA,0.005,5.0,WA WA WA WA WA WA WA OK WA WA WA WA WA WA WA WA WA WA WA WA,0.005,0.0,WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA,0.005,5.0
VIV,Габрово,0,Compilation error,N/A,0,Compilation error,N/A,5.0,OK WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA,0.038,5.0
VDC,Варна,5.0,WA WA WA WA WA WA WA WA OK WA WA WA TL TL WA TL TL TL WA WA,N/A,0.0,WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA,0.007,0.0,WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA,0.013,5.0
APK,Пловдив,0.0,WA WA WA WA WA WA WA WA WA WA RE RE WA WA WA WA WA WA RE RE,N/A,5.0,WA WA WA WA WA WA WA OK WA WA WA WA WA WA WA WA WA WA WA WA,0.005,0.0,WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA,0.005,5.0
TPC,Русе,0,Compilation error,N/A,5.0,WA WA WA WA WA WA WA OK WA WA WA WA WA WA WA WA WA WA WA WA,0.007,0,Compilation error,N/A,5.0
AAP,Варна,5.0,OK WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA,0.005,0.0,WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA,0.005,0.0,WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA,0.005,5.0
BVH,София,0,Compilation error,N/A,5.0,WA WA WA WA WA WA WA OK WA WA WA WA WA WA WA WA WA WA WA WA,0.004,0.0,TL TL TL TL TL TL TL TL TL TL TL WA TL TL WA TL TL TL TL TL,N/A,5.0
AMG,Варна,0.0,WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA,0.005,5.0,WA WA WA WA WA WA WA OK WA WA WA WA WA WA WA WA WA WA WA WA,0.004,0.0,WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA,0.003,5.0
IGP,Пловдив,0,Compilation error,N/A,0,Compilation error,N/A,0.0,TL TL WA WA TL WA WA TL WA WA WA TL WA WA WA TL WA WA TL WA,N/A,0.0
МКМ,Шумен,0.0,WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA,0.004,0,Compilation error,N/A,0.0,WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA,0.004,0.0
VNV,Габрово,0.0,WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA,0.005,0,Compilation error,N/A,0,Compilation error,N/A,0.0
SGS,Шумен,0.0,WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA,0.005,0,Compilation error,N/A,0,Compilation error,N/A,0.0
KMK,Варна,0,Compilation error,N/A,0,Compilation error,N/A,0.0,WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA,0.005,0.0
GMY,Плевен,0.0,WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA,0.005,0.0,WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA,0.005,0.0,WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA,0.005,0.0
ANN,София,0,Compilation error,N/A,0.0,WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA,0.006,0.0,WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA,0.002,0.0
VVG,Варна,0.0,RE RE RE RE RE RE RE RE RE RE RE RE RE RE RE RE RE RE RE RE,N/A,0,Compilation error,N/A,0.0,TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL,N/A,0.0
SSP,Габрово,0.0,WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA,0.004,0.0,WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA,0.005,0.0,WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA,0.004,0.0
KMG,Шумен,0.0,WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA,0.004,0.0,WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA,0.005,0.0,WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA,0.005,0.0
RIS,Габрово,0.0,TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL,N/A,0,Compilation error,N/A,0.0,WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA,0.004,0.0
GIG,Русе,0,Compilation error,N/A,0,Compilation error,N/A,0.0,TL TL WA WA TL WA WA TL WA WA WA TL WA WA WA TL WA WA TL WA,N/A,0.0
ASM,Шумен,0.0,WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA,0.005,0,Compilation error,N/A,0,Compilation error,N/A,0.0
AYY,Русе,0.0,WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA,0.005,0,Compilation error,N/A,0,Compilation error,N/A,0.0
PDK,Пловдив,0,Compilation error,N/A,0,Compilation error,N/A,0,Compilation error,N/A,0
EKM,Плевен,0.0,WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA,0.005,0.0,WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA,0.005,0.0,WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA,0.005,0.0
ABG,Ловеч,0,Compilation error,N/A,0.0,WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA,0.003,0.0,WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA,0.005,0.0
NKH,Варна,0,Compilation error,N/A,0.0,WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA,0.005,0.0,WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA,0.005,0.0
KNV,Варна,0,Compilation error,N/A,0,Compilation error,N/A,0.0,WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA,0.005,0.0
IAK,Варна,0.0,WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA,0.005,0,Compilation error,N/A,0,Compilation error,N/A,0.0
DHD,Габрово,0.0,TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL,N/A,0.0,WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA,0.005,0.0,WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA,0.004,0.0
MGA,Велико Търново,0.0,WA WA WA WA WA WA WA TL WA WA TL TL WA WA WA WA WA WA TL TL,N/A,0,Compilation error,N/A,0,Compilation error,N/A,0.0
KNM,Видин,0,Compilation error,N/A,0,Compilation error,N/A,0,Compilation error,N/A,0
IIA,Варна,0.0,WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA,0.005,0.0,WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA,0.008,0.0,WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA,0.006,0.0
DKK,Видин,0,Compilation error,N/A,0,Compilation error,N/A,0,Compilation error,N/A,0
DZV,Пловдив,0.0,WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA,0.005,0.0,WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA,0.005,0,Compilation error,N/A,0.0
NNS,Шумен,0,Compilation error,N/A,0.0,WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA,0.005,0.0,WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA,0.005,0.0
IKK,Пловдив,0.0,WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA,0.005,0.0,WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA,0.005,0.0,WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA,0.005,0.0
ANI,Плевен,0,Compilation error,N/A,0,Compilation error,N/A,0,Compilation error,N/A,0
PPV,Варна,0.0,WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA,0.005,0.0,WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA,0.004,0.0,WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA,0.005,0.0
