име,град,growingbaby-score,growingbaby-verdict,growingbaby-max-time,maze-score,maze-verdict,maze-max-time,palindrome-score,palindrome-verdict,palindrome-max-time,точки
HTT,Кюстендил,0,Compilation error,N/A,23.529411764705884,OK RE OK WA WA WA OK WA WA OK WA RE RE WA WA WA WA,N/A,57.14285714285715,WA OK WA OK WA WA WA WA OK OK OK OK OK OK,0.005,80.67226890756304
DPB,Пловдив,25.0,OK OK OK OK OK TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL,N/A,0,Compilation error,N/A,50.00000000000001,WA OK WA OK WA OK WA OK WA WA OK OK WA OK,0.002,75.0
IBN,София,20.0,TL OK OK OK OK WA WA RE WA RE RE WA WA RE RE RE RE RE RE RE,N/A,5.882352941176471,OK WA TL TL TL TL TL TL TL TL WA WA WA TL TL TL TL,N/A,35.714285714285715,WA OK WA OK WA OK WA WA WA WA OK WA OK WA,0.005,61.596638655462186
KBA,София,0,Compilation error,N/A,0,Compilation error,N/A,57.14285714285715,WA OK WA OK WA OK WA OK WA WA OK OK OK OK,0.004,57.14285714285715
EBH,Шумен,0.0,WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA,0.004,23.529411764705884,OK WA OK WA WA WA OK WA WA OK WA WA WA WA WA WA WA,0.005,14.285714285714286,OK TL TL OK WA TL TL TL TL TL TL TL TL TL,N/A,37.81512605042017
MDA,Варна,0,Compilation error,N/A,0,Compilation error,N/A,28.571428571428573,WA WA WA OK WA OK WA WA WA WA OK OK WA WA,0.003,28.571428571428573
VDM,Варна,25.0,OK OK OK OK OK TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL,N/A,0.0,WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA,0.005,0,Compilation error,N/A,25.0
EIS,София,0.0,WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA,0.004,23.529411764705884,OK WA OK WA WA WA OK WA WA OK WA WA WA WA WA WA WA,0.005,0.0,WA WA WA WA WA WA WA WA WA WA WA WA WA WA,0.004,23.529411764705884
RNK,Варна,0.0,WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA,0.005,0,Compilation error,N/A,21.42857142857143,WA OK WA OK WA OK WA WA WA WA WA WA WA WA,0.004,21.42857142857143
MNY,Русе,0,Compilation error,N/A,11.764705882352942,OK WA WA WA WA WA OK WA WA WA WA WA WA WA WA WA WA,0.005,0.0,WA WA WA RE WA RE RE WA WA WA WA WA WA WA,N/A,11.764705882352942
SVK,Кърджали,5.0,WA OK WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA,0.051,0,Compilation error,N/A,0.0,WA WA WA WA WA WA WA WA WA WA WA WA WA WA,0.005,5.0
SSK,Велико Търново,0,Compilation error,N/A,0.0,WA TL TL WA WA WA WA TL TL TL TL WA TL TL WA TL TL,N/A,0,Compilation error,N/A,0.0
MPA,Варна,0,Compilation error,N/A,0,Compilation error,N/A,0,Compilation error,N/A,0
EPV,Добрич,0.0,WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA,0.048,0.0,WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA,0.006,0.0,WA WA WA WA WA WA WA WA WA WA WA TL TL TL,N/A,0.0
ZGT,Шумен,0,Compilation error,N/A,0,Compilation error,N/A,0.0,TL TL TL TL TL TL TL TL TL TL TL TL TL TL,N/A,0.0
