име,град,beatle-score,beatle-verdict,beatle-max-time,composites-score,composites-verdict,composites-max-time,trams-score,trams-verdict,trams-max-time,точки
AII,Габрово,72.0930232558139,OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK TL TL TL TL TL TL TL TL TL TL TL TL,N/A,100.0,OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK,0.005,0.0,TL TL TL TL TL TL TL TL TL TL WA TL TL TL TL TL TL TL TL TL,N/A,172.0930232558139
SCN,София,0,Compilation error,N/A,100.0,OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK,0.005,65.0,OK WA OK OK WA OK OK OK WA OK OK WA OK WA WA WA OK OK OK OK,0.104,165.0
VAC,Пловдив,99.99999999999991,OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK,0.152,65.0,OK OK OK WA OK WA WA WA OK WA OK OK WA OK OK WA OK OK OK OK,0.006,0,Compilation error,N/A,164.99999999999991
AJV,София,99.99999999999991,OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK,0.266,65.0,OK OK OK OK OK OK OK OK OK OK OK WA OK TL WA TL TL WA OK WA,N/A,0.0,WA WA WA TL TL WA WA WA TL TL TL TL WA TL TL WA TL TL TL TL,N/A,164.99999999999991
IYK,Варна,99.99999999999991,OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK,0.124,45.0,WA WA WA WA WA OK WA WA OK WA WA OK OK OK WA OK OK OK WA OK,0.005,5.0,WA WA WA WA WA WA WA OK TL WA TL WA TL WA WA TL WA WA TL TL,N/A,149.99999999999991
NMM,Варна,99.99999999999991,OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK,0.193,0.0,WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA,0.005,45.0,OK WA OK OK OK OK OK OK OK OK TL TL TL TL TL TL TL TL TL TL,N/A,144.99999999999991
AIC,София,32.55813953488372,WA OK WA OK OK OK OK WA OK OK OK OK OK OK OK OK WA OK WA WA TL TL WA TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL,N/A,100.0,OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK,0.099,0,Compilation error,N/A,132.5581395348837
IAD,София,18.6046511627907,WA OK OK WA OK OK OK OK OK WA WA OK WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA,0.107,100.0,OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK,0.005,0,Compilation error,N/A,118.6046511627907
DAC,Пловдив,16.27906976744186,OK OK OK OK OK OK WA OK WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL,N/A,100.0,OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK,0.006,0.0,WA WA WA TL TL WA WA WA TL TL WA WA WA TL WA WA TL TL TL TL,N/A,116.27906976744185
IYS,Шумен,9.30232558139535,WA OK OK WA OK OK WA WA WA WA WA WA WA WA WA WA WA WA WA TL TL TL WA TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL,N/A,100.0,OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK,0.005,0.0,WA WA WA WA TL WA WA WA TL TL WA WA WA TL WA WA TL TL TL TL,N/A,109.30232558139535
YVP,Габрово,0,Compilation error,N/A,100.0,OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK,0.005,0.0,WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA,0.056,100.0
FTI,Шумен,0.0,WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA,0.165,100.0,OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK,0.005,0,Compilation error,N/A,100.0
VPV,Габрово,0.0,RE RE RE RE RE RE RE RE RE RE RE RE RE RE RE RE RE RE RE RE RE RE RE RE RE RE RE RE RE RE RE RE RE RE RE RE RE RE RE RE RE RE RE,N/A,100.0,OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK,0.005,0,Compilation error,N/A,100.0
VVS,Русе,0.0,WA WA WA WA WA WA WA WA WA WA WA WA WA RE WA WA WA WA RE RE TL TL WA TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL,N/A,100.0,OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK,0.005,0.0,WA WA WA WA WA WA WA WA TL WA WA WA WA WA WA WA TL WA WA WA,N/A,100.0
VYT,Бургас,0,Compilation error,N/A,100.0,OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK,0.005,0,Compilation error,N/A,100.0
TTT,Варна,0.0,WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA TL WA TL TL TL TL TL TL TL WA WA TL TL TL TL TL TL TL TL TL TL TL,N/A,100.0,OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK,0.005,0,Compilation error,N/A,100.0
COT,Габрово,99.99999999999991,OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK,0.112,0,Compilation error,N/A,0.0,TL TL TL TL TL TL TL TL RE RE TL TL TL TL TL TL RE TL TL TL,N/A,99.99999999999991
IMS,София,99.99999999999991,OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK,0.164,0.0,WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA,0.005,0.0,WA WA WA WA WA WA WA WA TL WA WA WA WA WA WA WA WA WA WA WA,N/A,99.99999999999991
SCC,София,99.99999999999991,OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK,0.066,0,Compilation error,N/A,0,Compilation error,N/A,99.99999999999991
KKI,Варна,0.0,RE RE RE RE RE RE RE RE RE RE RE RE RE RE RE RE RE RE RE RE RE RE RE RE RE RE RE RE RE RE RE RE RE RE RE RE RE RE RE RE RE RE RE,N/A,85.0,OK OK WA OK WA WA OK OK OK OK OK OK OK OK OK OK OK OK OK OK,0.005,0.0,WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA,0.121,85.0
MND,Варна,74.41860465116274,OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK TL TL TL TL TL TL TL TL TL TL TL OK OK OK,N/A,0,Compilation error,N/A,0,Compilation error,N/A,74.41860465116274
SNB,Шумен,72.0930232558139,OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK TL TL TL TL TL TL TL TL TL TL TL TL OK OK,N/A,0,Compilation error,N/A,0,Compilation error,N/A,72.0930232558139
YAZ,Плевен,65.1162790697674,OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK TL TL TL TL TL TL TL TL TL TL TL TL TL TL RE,N/A,0,Compilation error,N/A,0,Compilation error,N/A,65.1162790697674
DDK,Бургас,0,Compilation error,N/A,65.0,OK OK OK OK OK OK OK OK OK OK OK TL OK TL TL OK TL TL TL TL,N/A,0,Compilation error,N/A,65.0
HEB,Хасково,23.255813953488374,OK OK OK OK OK OK OK OK OK TL OK TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL RE RE RE RE RE RE RE TL RE RE TL TL TL TL TL,N/A,40.0,OK OK OK OK OK OK WA OK OK WA WA TL WA WA TL WA TL TL WA WA,N/A,0.0,WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA,0.005,63.25581395348837
VGV,Шумен,55.813953488372064,OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK RE OK TL WA RE TL TL TL RE RE TL TL TL TL TL TL TL RE TL TL,N/A,0.0,WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA,0.005,0.0,RE RE RE TL TL RE RE RE TL TL RE TL RE TL TL RE TL TL RE RE,N/A,55.813953488372064
YDD,Шумен,55.813953488372064,OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK RE OK RE RE RE RE RE RE RE RE RE TL TL RE TL TL TL RE TL RE,N/A,0.0,WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA,0.005,0,Compilation error,N/A,55.813953488372064
