име,град,cred-score,cred-verdict,cred-max-time,odd-score,odd-verdict,odd-max-time,sequence-score,sequence-verdict,sequence-max-time,точки
VYG,Добрич,0,Compilation error,N/A,0,Compilation error,N/A,0,Compilation error,N/A,0
MEN,София,0.0,WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA,0.005,0,Compilation error,N/A,0.0,WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA,0.005,0.0
MSP,София,0.0,WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA,0.005,0.0,WA WA WA WA WA WA WA WA WA WA WA WA WA,0.003,0,Compilation error,N/A,0.0
KYS,Ямбол,0.0,WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA,0.005,0.0,TL TL TL TL TL TL TL TL TL TL TL TL TL,N/A,0.0,WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA,0.168,0.0
NBR,София,0.0,WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA,0.005,0.0,WA WA WA WA WA WA WA WA WA WA WA WA WA,0.005,0.0,WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA,0.005,0.0
SAS,София,0.0,TL TL WA TL TL TL TL TL TL TL TL TL TL TL TL TL TL,N/A,0.0,WA WA WA WA WA WA WA WA WA TL TL TL TL,N/A,0.0,WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA,0.005,0.0
VKN,Русе,0,Compilation error,N/A,0.0,WA WA WA WA WA WA WA WA WA WA WA WA WA,0.005,0,Compilation error,N/A,0.0
VNP,Шумен,0,Compilation error,N/A,0,Compilation error,N/A,0,Compilation error,N/A,0
VSS,Пловдив,0.0,TL TL WA TL TL TL TL TL TL TL TL TL TL TL TL TL TL,N/A,0.0,WA WA WA WA TL TL TL TL TL TL TL TL TL,N/A,0,Compilation error,N/A,0.0
DSN,Бургас,0.0,WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA,0.005,0,Compilation error,N/A,0.0,WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA,0.005,0.0
AMS,Велико Търново,0,Compilation error,N/A,0.0,WA WA WA WA WA WA WA WA WA WA WA WA WA,0.005,0,Compilation error,N/A,0.0
