име,град,grip-score,grip-verdict,grip-max-time,sequence-score,sequence-verdict,sequence-max-time,square-score,square-verdict,square-max-time,точки
BIG,София,40.0,WA WA WA WA OK OK WA WA WA WA OK WA OK OK OK,0.006,70.58823529411765,OK OK WA OK WA OK WA OK OK OK OK WA WA OK OK OK OK,0.007,0.0,WA WA WA WA WA WA WA WA WA WA WA,0.006,110.58823529411765
KKD,София,0,Compilation error,N/A,99.99999999999997,OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK,0.067,9.090909090909092,OK WA WA WA WA WA WA WA WA WA WA,0.313,109.09090909090907
DVN,Благоевград,0.0,WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA,0.005,88.23529411764704,OK OK WA OK OK OK WA OK OK OK OK OK OK OK OK OK OK,0.007,18.181818181818183,OK OK WA TL TL TL TL TL TL TL TL,N/A,106.41711229946523
IVP,Благоевград,80.0,OK WA OK OK OK OK WA WA OK OK OK OK OK OK OK,0.005,5.882352941176471,WA OK WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA,0.006,18.181818181818183,OK OK WA WA WA WA WA WA WA WA WA,0.043,104.06417112299465
PVM,София,0.0,WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA,0.006,99.99999999999997,OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK,0.005,0.0,RE RE RE RE RE RE RE RE RE RE RE,N/A,99.99999999999997
LDK,София,53.33333333333333,WA WA OK WA OK OK WA WA WA OK OK OK WA OK OK,0.005,35.294117647058826,OK OK OK OK OK OK TL TL TL TL TL TL TL TL TL TL TL,N/A,0,Compilation error,N/A,88.62745098039215
SNS,София,59.99999999999999,WA WA OK WA OK OK WA WA WA OK OK OK OK OK OK,0.005,0.0,RE RE RE RE RE RE RE RE RE RE RE RE RE RE RE RE RE,N/A,18.181818181818183,OK OK TL TL TL TL TL TL TL TL TL,N/A,78.18181818181817
GTA,Варна,46.666666666666664,WA WA OK WA OK OK WA WA WA WA OK OK WA OK OK,0.005,0.0,WA RE RE RE RE RE RE RE RE RE RE RE RE RE RE RE RE,N/A,27.272727272727273,OK OK OK WA WA WA WA WA WA RE RE,N/A,73.93939393939394
GGE,Плевен,26.666666666666668,WA WA WA WA WA OK WA WA WA WA OK WA WA OK OK,0.005,35.294117647058826,OK OK OK OK OK OK TL TL TL TL TL TL TL TL TL TL TL,N/A,9.090909090909092,OK WA WA WA WA WA WA WA WA WA WA,0.009,71.05169340463459
LVG,София,26.666666666666668,WA WA WA WA WA OK WA WA WA OK WA WA WA OK OK,0.005,35.294117647058826,OK WA OK WA OK WA OK WA WA WA WA OK OK WA WA WA WA,0.008,9.090909090909092,OK WA WA WA TL WA WA WA WA WA WA,N/A,71.05169340463459
BLL,София,13.333333333333334,WA WA WA WA WA OK WA WA WA WA OK WA WA WA WA,0.005,35.294117647058826,OK OK OK OK OK OK TL TL TL TL TL TL TL TL TL TL TL,N/A,18.181818181818183,OK OK TL TL TL TL TL TL TL TL TL,N/A,66.80926916221034
LBI,София,0,Compilation error,N/A,35.294117647058826,OK OK OK OK OK OK TL TL TL TL TL TL TL TL TL TL TL,N/A,27.272727272727273,OK OK OK TL TL TL TL TL TL TL TL,N/A,62.5668449197861
GMP,Варна,13.333333333333334,OK WA WA WA WA OK WA WA WA WA WA WA WA WA WA,0.006,35.294117647058826,OK OK OK OK OK OK TL TL TL TL TL TL TL TL TL TL TL,N/A,9.090909090909092,OK TL TL TL TL TL WA TL TL TL TL,N/A,57.718360071301255
PIC,София,13.333333333333334,WA WA WA WA OK WA WA WA WA WA OK WA WA WA WA,0.005,35.294117647058826,OK OK OK OK OK OK TL TL TL TL TL TL TL TL TL TL TL,N/A,9.090909090909092,OK WA WA WA WA WA WA WA WA WA WA,0.006,57.718360071301255
YNP,Пловдив,0.0,WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA,0.005,35.294117647058826,OK OK OK OK OK OK TL TL TL TL TL TL TL TL TL TL TL,N/A,18.181818181818183,OK OK TL TL TL TL TL TL RE RE RE,N/A,53.47593582887701
VVB,Пловдив,46.666666666666664,OK WA OK WA OK OK WA WA WA OK OK OK WA WA WA,0.005,5.882352941176471,RE RE RE RE RE RE RE RE RE RE RE RE RE RE RE RE OK,N/A,0.0,RE RE RE RE RE RE RE RE RE RE RE,N/A,52.549019607843135
DML,София,0,Compilation error,N/A,41.1764705882353,WA OK OK OK OK OK WA WA WA OK OK WA WA WA WA WA WA,0.007,9.090909090909092,OK WA WA TL TL TL TL TL TL TL TL,N/A,50.26737967914439
SSI,Благоевград,13.333333333333334,WA WA OK WA WA WA WA WA WA OK WA WA WA WA WA,0.005,17.647058823529413,OK OK OK WA WA WA WA WA WA WA WA WA WA WA WA WA WA,0.009,18.181818181818183,OK OK WA WA WA WA WA WA WA WA WA,0.005,49.162210338680936
RKR,Габрово,0.0,WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA,0.005,47.05882352941177,OK OK OK OK OK OK WA WA WA OK OK WA WA WA WA WA WA,0.004,0,Compilation error,N/A,47.05882352941177
KAM,София,0.0,WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA,0.005,47.05882352941177,OK OK OK OK OK OK WA WA WA OK OK WA WA WA WA WA WA,0.005,0.0,TL TL TL TL TL TL TL TL TL TL TL,N/A,47.05882352941177
VTI,Варна,46.666666666666664,WA WA WA OK OK OK OK WA WA WA OK OK WA OK WA,0.005,0.0,WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA,0.005,0.0,WA WA WA WA WA WA WA WA WA WA WA,0.005,46.666666666666664
MIM,София,0.0,RE RE RE RE RE RE RE RE RE RE RE RE RE RE RE,N/A,35.294117647058826,OK OK OK OK OK OK TL TL TL TL TL TL TL TL TL TL TL,N/A,9.090909090909092,OK WA WA WA WA WA WA WA WA WA WA,0.005,44.38502673796792
AAK,София,6.666666666666667,WA WA WA WA WA WA WA WA WA WA WA WA OK WA WA,0.005,35.294117647058826,OK OK OK OK OK OK TL TL TL TL TL TL TL TL TL TL TL,N/A,0.0,WA WA WA WA WA WA WA WA WA WA WA,0.005,41.96078431372549
OMY,София,20.0,OK WA WA WA WA OK WA WA WA WA WA WA WA OK WA,0.005,11.764705882352942,OK OK WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA,0.006,9.090909090909092,OK TL TL TL TL TL TL TL TL TL TL,N/A,40.855614973262036
NVG,Варна,0,Compilation error,N/A,23.529411764705884,WA WA OK WA WA WA OK OK WA WA WA WA WA WA WA WA OK,0.009,9.090909090909092,OK WA WA WA WA WA WA WA WA WA WA,0.008,32.62032085561498
BIK,Габрово,0.0,WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA,0.005,17.647058823529413,OK OK OK WA WA WA WA WA WA WA WA WA WA WA WA WA WA,0.006,9.090909090909092,OK WA TL TL TL TL TL TL TL TL TL,N/A,26.737967914438507
ODR,София,13.333333333333334,WA WA WA WA WA WA WA WA WA WA WA WA WA OK OK,0.005,0.0,TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL,N/A,0.0,TL TL TL TL TL TL TL TL TL TL TL,N/A,13.333333333333334
DYD,Велико Търново,13.333333333333334,WA TL WA TL OK WA TL TL TL TL OK WA WA TL TL,N/A,0,Compilation error,N/A,0,Compilation error,N/A,13.333333333333334
BHM,София,6.666666666666667,WA WA WA WA WA WA WA WA OK WA WA WA WA WA WA,0.002,0,Compilation error,N/A,0.0,WA WA WA WA WA WA WA WA WA WA WA,0.005,6.666666666666667
NDD,Шумен,0.0,WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA,0.005,5.882352941176471,OK WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA,0.005,0.0,WA WA WA WA WA WA WA WA WA WA WA,0.005,5.882352941176471
