име,град,eksk-score,eksk-verdict,eksk-max-time,estet-score,estet-verdict,estet-max-time,restruct-score,restruct-verdict,restruct-max-time,точки
VDM,Варна,7.5,OK TL WA WA RE TL TL TL TL TL TL TL TL TL OK OK WA TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL,N/A,43.478260869565226,OK OK OK OK OK OK OK OK OK OK TL TL TL TL TL TL TL TL TL TL TL TL TL,N/A,66.66666666666667,OK OK OK OK OK OK WA WA WA WA WA OK OK TL OK OK OK OK,N/A,117.6449275362319
MDD,София,65.0,OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK RE RE TL TL RE TL OK OK OK OK TL RE RE RE RE RE RE RE,N/A,47.82608695652175,OK OK OK OK OK OK OK OK OK OK OK TL TL TL TL TL TL TL TL TL TL TL TL,N/A,0.0,WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA,0.096,112.82608695652175
BEI,Русе,47.5,OK OK OK OK OK OK OK OK OK WA OK OK OK WA WA OK OK OK WA OK WA WA WA OK WA OK WA OK WA WA WA WA WA WA WA WA WA WA WA WA,0.171,47.82608695652175,OK OK OK OK OK OK OK OK OK OK OK TL TL TL TL TL TL TL TL TL TL TL TL,N/A,16.666666666666664,OK WA WA WA WA WA WA WA WA WA WA WA WA OK OK WA WA WA,0.641,111.9927536231884
NMM,Габрово,52.5,OK OK OK OK OK WA OK OK OK OK OK OK OK WA OK OK OK OK OK WA OK OK TL OK TL TL TL TL TL OK TL TL TL TL TL TL TL TL TL TL,N/A,43.478260869565226,OK OK OK OK OK OK OK OK OK OK TL TL TL TL TL TL TL TL TL TL TL TL TL,N/A,0.0,WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA,0.01,95.97826086956522
SAM,Варна,15.0,OK WA OK WA OK WA OK WA WA OK WA WA WA OK WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA,0.124,0.0,WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA,0.045,66.66666666666667,OK OK OK OK OK OK RE RE OK WA WA OK OK RE RE OK OK OK,N/A,81.66666666666667
KBA,София,22.5,OK WA OK OK OK OK OK WA WA OK WA WA WA OK WA WA WA WA WA WA WA OK WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA,0.123,47.82608695652175,OK OK OK OK OK OK OK OK OK OK OK TL TL TL TL TL TL TL TL TL TL TL TL,N/A,5.555555555555555,OK WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA,0.013,75.8816425120773
JAG,София,20.0,OK WA WA OK OK WA OK WA OK WA OK WA WA OK WA WA WA WA WA WA WA OK WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA,0.131,47.82608695652175,OK OK OK OK OK OK OK OK OK OK OK TL TL TL TL TL TL TL TL TL TL TL TL,N/A,5.555555555555555,OK WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA,0.259,73.3816425120773
DPB,Пловдив,62.5,OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK WA WA WA WA OK OK WA OK WA OK OK WA OK OK WA WA WA WA WA WA WA WA,0.273,0.0,WA WA WA WA WA WA WA TL TL WA TL TL TL TL TL TL TL TL TL TL TL TL TL,N/A,5.555555555555555,OK WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA,0.586,68.05555555555556
MPM,Русе,67.5,OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK TL TL TL TL TL WA OK OK OK OK OK TL TL TL TL TL TL TL,N/A,0.0,WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA,0.053,0.0,WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA,0.012,67.5
MGM,Велико Търново,50.0,OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK WA OK OK WA WA WA OK WA WA WA TL WA WA WA WA WA WA WA WA WA WA WA WA,N/A,0.0,WA WA WA WA WA WA WA WA WA WA TL TL TL TL TL TL TL TL TL TL TL TL TL,N/A,16.666666666666664,OK OK WA OK WA WA WA WA WA WA WA WA WA WA WA WA WA WA,0.012,66.66666666666666
VDH,Пловдив,22.5,WA OK OK OK OK OK WA WA WA WA WA WA WA OK WA OK OK WA WA WA WA WA TL TL WA WA TL OK WA WA WA WA WA TL TL TL TL WA WA TL,N/A,39.1304347826087,OK OK OK OK OK OK OK OK OK TL TL TL TL TL TL RE RE RE RE RE RE RE RE,N/A,0.0,RE RE RE RE RE RE RE RE RE RE RE RE RE RE RE RE RE RE,N/A,61.6304347826087
MDS,Варна,55.0,OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL,N/A,0.0,TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL,N/A,0.0,WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA RE RE RE,N/A,55.0
ANM,Бургас,30.0,OK OK OK OK OK OK OK OK WA WA WA OK WA OK OK WA OK WA WA WA WA WA RE RE RE RE RE RE TL TL TL TL TL RE RE RE RE TL TL TL,N/A,8.695652173913043,OK OK TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL,N/A,11.11111111111111,OK OK WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA,0.014,49.80676328502416
PIM,Велико Търново,0.0,WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA RE RE RE RE RE RE WA WA WA WA WA RE RE RE RE RE WA WA,N/A,43.478260869565226,OK OK OK OK OK OK OK OK OK OK TL TL TL TL TL TL TL TL TL TL TL TL TL,N/A,0,Compilation error,N/A,43.478260869565226
VAD,Габрово,2.5,TL TL OK TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL,N/A,0.0,WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA,0.048,38.88888888888889,OK OK WA WA WA OK WA WA OK WA OK OK OK TL TL TL TL TL,N/A,41.38888888888889
KMD,Шумен,17.5,OK OK OK OK WA OK OK WA WA WA WA WA WA OK WA WA WA WA WA WA WA WA RE RE RE RE RE RE RE RE RE RE RE RE RE RE RE RE RE RE,N/A,0.0,TL TL TL TL TL TL RE RE RE RE RE RE RE RE RE RE RE RE RE RE RE RE RE,N/A,11.11111111111111,OK OK WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA,0.006,28.61111111111111
ZZV,Сливен,22.5,OK OK OK OK WA OK OK WA OK WA WA WA WA OK OK WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA,0.124,0.0,WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA,0.036,5.555555555555555,OK WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA,0.023,28.055555555555557
KBK,Благоевград,15.0,OK WA WA OK WA WA OK WA OK WA OK WA WA OK WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA,0.138,0.0,WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA,0.037,11.11111111111111,OK OK WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA,0.013,26.11111111111111
IPK,Шумен,17.5,OK WA WA WA WA OK OK WA WA WA WA OK OK WA OK OK WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA,0.123,0.0,WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA,0.043,5.555555555555555,OK WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA,0.013,23.055555555555557
EPV,Добрич,10.0,OK WA WA WA WA WA WA WA WA WA WA OK OK WA OK WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA,0.114,0.0,WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA,0.034,11.11111111111111,OK OK WA WA WA WA RE RE RE RE RE RE RE RE RE RE RE RE,N/A,21.11111111111111
DIC,София,15.0,OK OK WA WA WA WA WA WA WA WA WA WA WA WA OK OK WA WA WA OK WA WA TL TL WA TL TL WA WA OK WA WA WA TL TL TL TL WA WA WA,N/A,0.0,WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA,0.028,5.555555555555555,OK WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA,0.011,20.555555555555557
AST,София,20.0,OK OK OK OK OK WA OK WA WA WA WA WA WA OK WA WA WA WA WA WA WA OK RE RE RE RE RE RE RE RE RE RE RE RE RE RE RE RE RE RE,N/A,0.0,WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA,0.032,0.0,WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA,0.01,20.0
HTT,Кюстендил,10.0,WA OK OK OK WA OK WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA,0.123,8.695652173913043,OK OK TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL,N/A,0,Compilation error,N/A,18.695652173913043
