име,град,corridor-score,corridor-verdict,corridor-max-time,paint-score,paint-verdict,paint-max-time,progres-score,progres-verdict,progres-max-time,точки
IAK,Велико Търново,0,Compilation error,N/A,0.0,WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA,0.019,4.0,WA OK WA WA WA WA WA WA WA WA WA TL RE RE TL WA WA TL RE WA RE TL TL RE TL,N/A,4.0
YGD,Шумен,0.0,WA WA WA WA WA WA WA WA WA WA RE RE RE RE RE RE RE RE RE RE WA WA WA WA RE RE RE RE RE RE RE RE RE RE RE RE RE RE RE RE,N/A,0.0,RE RE RE RE RE RE RE RE RE RE RE RE RE RE RE RE RE RE RE RE,N/A,4.0,WA WA WA WA WA WA OK WA WA WA WA TL TL WA TL WA WA TL TL TL TL TL TL TL TL,N/A,4.0
NKM,Велико Търново,0.0,WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA,0.133,0.0,RE RE RE RE RE RE RE RE RE RE RE RE RE RE RE RE RE RE RE RE,N/A,4.0,WA OK WA WA WA WA WA WA WA WA TL TL TL TL TL WA WA TL TL WA TL TL TL TL TL,N/A,4.0
VBK,Кюстендил,0,Compilation error,N/A,0,Compilation error,N/A,0.0,WA WA WA WA WA WA WA WA WA WA WA WA TL TL TL WA WA TL WA WA WA WA WA TL TL,N/A,0.0
JDD,Шумен,0,Compilation error,N/A,0,Compilation error,N/A,0,Compilation error,N/A,0
BEV,Плевен,0.0,WA WA WA WA WA WA WA WA WA WA WA WA RE RE RE RE RE RE RE RE WA WA WA WA WA WA WA WA WA WA RE RE RE RE RE RE RE RE RE RE,N/A,0,Compilation error,N/A,0.0,WA WA WA WA WA WA WA WA WA WA WA WA TL WA TL WA WA TL TL TL TL TL TL TL TL,N/A,0.0
ICS,Ловеч,0.0,WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA RE RE RE RE RE RE RE RE RE RE,N/A,0.0,WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA,0.003,0.0,WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA,0.003,0.0
SNN,Плевен,0.0,WA WA WA WA WA WA WA WA WA WA RE RE RE RE RE RE RE RE RE RE WA WA RE RE RE RE RE RE RE RE RE RE RE RE RE RE RE RE RE RE,N/A,0.0,WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA,0.156,0,Compilation error,N/A,0.0
VDG,Кюстендил,0,Compilation error,N/A,0,Compilation error,N/A,0.0,WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA,0.006,0.0
IGH,Самоков,0,Compilation error,N/A,0,Compilation error,N/A,0,Compilation error,N/A,0
ABI,Кюстендил,0,Compilation error,N/A,0.0,WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA,0.003,0.0,WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA,0.003,0.0
SAY,Благоевград,0.0,WA WA WA WA WA WA WA WA WA WA TL TL TL TL TL TL TL TL TL TL WA WA TL RE RE RE RE TL TL RE TL TL TL TL TL TL TL TL TL TL,N/A,0,Compilation error,N/A,0.0,WA WA WA RE WA WA WA WA WA WA WA WA WA WA WA RE WA WA WA WA WA WA WA WA WA,N/A,0.0
HKH,Варна,0.0,RE RE RE RE RE RE RE RE RE RE RE RE RE RE RE RE RE RE RE RE RE RE RE RE RE RE RE RE RE RE RE RE RE RE RE RE RE RE RE RE,N/A,0,Compilation error,N/A,0.0,WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA,0.003,0.0
NAP,София,0.0,WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA,0.136,0.0,WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA,0.509,0.0,WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA,0.006,0.0
BGA,Самоков,0,Compilation error,N/A,0.0,WA WA WA WA WA WA WA WA WA RE WA RE RE RE RE RE RE RE RE RE,N/A,0,Compilation error,N/A,0.0
AGA,Плевен,0,Compilation error,N/A,0.0,RE RE RE RE RE RE RE RE RE RE RE RE RE RE RE RE RE RE RE RE,N/A,0,Compilation error,N/A,0.0
BKN,Кюстендил,0,Compilation error,N/A,0.0,WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA,0.003,0.0,WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA,0.006,0.0
AVB,Велико Търново,0.0,RE RE RE RE RE RE RE RE RE RE RE RE RE RE RE RE RE RE RE RE RE RE RE RE RE RE RE RE RE RE RE RE RE RE RE RE RE RE RE RE,N/A,0.0,WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA,0.069,0.0,WA WA WA WA WA WA WA WA WA WA WA WA TL TL TL WA WA WA WA WA WA WA WA WA TL,N/A,0.0
