име,град,number-score,number-verdict,number-max-time,sdiv-score,sdiv-verdict,sdiv-max-time,stories-score,stories-verdict,stories-max-time,точки
ISD,Пловдив,100.0,OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK,0.079,29.999999999999996,OK OK OK WA WA WA OK WA WA WA WA WA WA WA WA WA OK OK OK OK WA WA WA WA WA OK WA WA WA WA,0.319,65.0,OK OK OK OK OK OK OK OK OK OK OK OK OK TL TL TL TL TL TL TL,N/A,195.0
SSP,Стара Загора,100.0,OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK,0.003,23.333333333333332,OK OK OK OK OK OK OK TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL,N/A,65.0,OK OK OK OK OK OK OK OK OK OK OK OK OK TL TL TL TL TL TL TL,N/A,188.33333333333331
PGA,Шумен,30.0,OK OK OK OK OK OK WA WA WA WA WA WA WA WA WA WA WA WA WA WA,0.003,99.99999999999997,OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK,0.243,55.0,OK OK OK OK OK OK OK OK OK OK TL TL TL TL TL TL TL OK TL TL,N/A,184.99999999999997
AGS,Велико Търново,50.0,OK OK OK OK OK OK OK OK WA OK WA OK WA TL TL TL TL TL TL TL,N/A,20.0,OK OK OK OK OK WA OK WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA,0.016,100.0,OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK,0.236,170.0
AII,Плевен,15.0,OK OK OK TL TL TL TL TL WA WA WA WA WA WA WA TL TL WA WA WA,N/A,99.99999999999997,OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK,0.156,55.0,OK OK OK OK OK OK OK OK OK OK TL TL TL TL TL TL TL OK TL TL,N/A,169.99999999999997
GAM,Варна,65.0,OK OK OK OK OK OK OK OK OK OK OK OK OK TL TL TL TL TL TL TL,N/A,99.99999999999997,OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK,0.089,0,Compilation error,N/A,164.99999999999997
YVL,София,0.0,WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA,0.003,66.66666666666669,OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK WA WA WA WA WA WA WA WA WA WA,0.093,95.0,OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK TL,N/A,161.66666666666669
GBB,Шумен,30.0,OK OK OK OK OK OK WA WA WA WA WA WA WA WA WA WA WA WA WA WA,0.003,29.999999999999996,OK OK OK OK OK OK OK OK WA WA WA WA WA OK WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA,0.119,90.0,OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK TL TL,N/A,150.0
IDA,Плевен,30.0,OK OK OK OK OK OK WA WA WA WA WA WA WA WA WA WA WA WA WA WA,0.003,23.333333333333332,OK OK OK OK OK OK OK TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL RE RE RE RE RE RE RE,N/A,95.0,OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK TL,N/A,148.33333333333331
RGM,Хасково,30.0,OK OK OK OK OK OK WA WA WA WA WA WA WA WA WA WA WA WA WA WA,0.003,26.666666666666664,OK OK OK OK OK OK OK OK TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL,N/A,90.0,OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK TL TL,N/A,146.66666666666666
PVG,София,15.0,OK OK OK TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL,N/A,23.333333333333332,OK OK OK OK OK OK OK TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL,N/A,95.0,OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK TL,N/A,133.33333333333331
KGA,Бургас,15.0,OK OK OK TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL,N/A,20.0,OK OK OK OK OK WA OK TL WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA TL WA WA WA WA WA WA,N/A,95.0,OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK TL,N/A,130.0
VGV,Шумен,30.0,OK OK OK OK OK OK WA WA WA WA WA WA WA WA WA WA WA WA WA WA,0.003,0,Compilation error,N/A,95.0,OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK TL,N/A,125.0
SHB,Стара Загора,30.0,OK OK OK OK OK OK WA WA WA WA WA WA WA WA WA WA WA WA WA WA,0.003,0.0,WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA,0.003,95.0,OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK TL,N/A,125.0
MIP,Русе,0,Compilation error,N/A,26.666666666666664,OK OK OK OK OK OK OK OK TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL,N/A,95.0,OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK TL,N/A,121.66666666666666
GSS,Бургас,15.0,OK OK OK TL TL TL TL TL WA WA WA WA WA WA WA TL TL WA WA WA,N/A,3.3333333333333335,OK WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA TL TL TL TL TL TL TL TL TL TL,N/A,95.0,OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK TL,N/A,113.33333333333333
SYI,Велико Търново,0.0,WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA,0.003,23.333333333333332,OK OK OK OK OK OK OK TL TL TL TL TL TL TL TL TL TL TL TL TL RE RE RE RE RE RE RE RE RE RE,N/A,90.0,OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK TL OK TL,N/A,113.33333333333333
GIG,Русе,20.0,OK OK OK OK TL TL TL TL WA WA WA WA WA WA WA TL TL WA WA WA,N/A,0.0,WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA,0.003,90.0,OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK TL OK TL,N/A,110.0
KAB,София,0.0,WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA,0.003,13.333333333333334,OK OK WA WA OK WA OK WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA,0.136,90.0,OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK TL OK TL,N/A,103.33333333333333
IMM,Пловдив,70.0,OK OK OK OK OK OK OK OK WA OK WA OK WA OK WA OK WA OK WA OK,0.046,29.999999999999996,OK OK OK WA WA WA OK WA WA WA WA WA WA WA WA WA OK OK OK OK WA WA WA WA WA OK WA WA WA WA,0.299,0,Compilation error,N/A,100.0
VLV,Пловдив,10.0,OK OK TL TL TL TL TL TL WA WA WA WA WA WA WA TL TL WA WA WA,N/A,0.0,WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA,0.003,90.0,OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK TL TL,N/A,100.0
GPP,Стара Загора,30.0,OK OK OK OK OK OK WA WA WA WA WA WA WA WA WA WA WA WA WA WA,0.003,23.333333333333332,OK OK OK OK OK OK OK TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL,N/A,45.0,OK OK OK OK OK OK TL OK OK OK TL TL TL TL TL TL TL TL TL TL,N/A,98.33333333333333
HCM,София,15.0,OK OK OK TL WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA,N/A,20.0,OK OK OK OK OK TL OK TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL,N/A,50.0,OK OK OK OK OK OK OK OK OK OK TL TL TL TL TL TL TL WA TL TL,N/A,85.0
TTG,Стара Загора,0.0,WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA,0.003,20.0,OK OK OK OK OK WA OK TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL,N/A,65.0,OK OK OK OK OK OK OK OK OK OK OK OK OK RE RE RE TL TL TL RE,N/A,85.0
GTY,София,30.0,OK OK OK OK OK OK WA WA WA WA WA WA WA WA WA WA WA WA WA WA,0.003,3.3333333333333335,WA WA OK WA WA TL WA TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL,N/A,50.0,OK OK OK OK OK OK OK WA OK WA TL TL TL TL TL TL TL OK OK TL,N/A,83.33333333333334
EDG,Шумен,0.0,WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA RE,N/A,0.0,WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA,0.169,80.0,OK OK OK OK OK OK OK OK OK WA WA WA OK OK OK OK OK OK OK WA,0.239,80.0
VIS,Плевен,30.0,OK OK OK OK OK OK WA WA WA WA WA WA WA WA WA WA WA WA WA WA,0.003,0.0,WA WA WA WA TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL,N/A,45.0,OK OK OK OK OK OK TL OK OK OK TL TL TL TL TL TL TL TL TL TL,N/A,75.0
ASC,Велико Търново,0.0,WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA,0.003,0,Compilation error,N/A,65.0,OK OK OK OK OK OK OK OK OK OK OK OK OK TL TL TL TL TL TL TL,N/A,65.0
TMH,Варна,10.0,WA WA WA OK WA OK WA WA WA WA WA WA WA WA WA WA WA WA WA WA,0.003,0.0,WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA,0.003,55.0,OK OK OK OK OK OK OK OK OK OK TL OK TL TL TL TL TL TL TL TL,N/A,65.0
DND,Бургас,30.0,OK OK OK OK OK OK WA WA WA WA WA WA WA WA WA WA WA WA WA WA,0.003,0,Compilation error,N/A,25.0,WA WA WA WA WA WA WA OK OK WA WA WA WA WA WA OK WA OK OK WA,0.169,55.0
KMK,Враца,0.0,TL TL TL TL TL TL TL TL WA WA WA WA WA WA WA TL TL WA WA WA,N/A,0,Compilation error,N/A,50.0,OK OK OK OK OK OK OK OK OK OK TL TL TL TL TL TL TL TL TL TL,N/A,50.0
GPP,София,0.0,WA WA WA TL TL WA TL TL WA WA WA WA WA WA WA TL TL WA WA WA,N/A,0.0,WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA,0.003,50.0,OK OK OK OK OK OK OK OK OK OK TL TL TL TL TL TL TL TL TL TL,N/A,50.0
MDD,Самоков,0.0,WA WA WA TL TL WA TL TL WA WA WA WA WA WA WA TL TL WA WA WA,N/A,0.0,TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL,N/A,45.0,OK OK OK OK OK OK TL OK OK OK TL TL TL TL TL TL TL TL TL TL,N/A,45.0
PMT,София,30.0,OK OK OK OK OK OK WA WA WA WA WA WA WA WA WA WA WA WA WA WA,0.003,0,Compilation error,N/A,15.0,TL OK TL OK TL TL TL OK TL TL TL TL TL TL TL TL TL TL TL TL,N/A,45.0
NEK,София,0.0,WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA,0.003,0.0,WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA RE RE RE RE RE RE RE RE RE RE,N/A,45.0,OK OK OK OK OK OK OK OK TL OK TL TL TL TL TL TL TL TL TL TL,N/A,45.0
GDG,Габрово,15.0,WA WA OK OK WA OK WA WA WA WA WA WA WA WA WA WA WA WA WA WA,0.003,23.333333333333332,OK OK OK OK OK OK OK TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL,N/A,5.0,TL OK TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL,N/A,43.33333333333333
AKM,София,0.0,WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA,0.003,0.0,WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA,0.003,40.0,OK OK OK OK OK OK TL OK OK TL TL TL TL TL TL TL TL TL TL TL,N/A,40.0
GMM,Стара Загора,0.0,TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL,N/A,0.0,WA WA WA WA RE RE RE RE RE RE RE RE RE RE RE RE RE RE RE RE RE RE RE RE RE RE RE RE RE RE,N/A,35.0,OK OK OK OK RE RE OK OK RE OK TL TL RE RE RE RE TL TL WA TL,N/A,35.0
DKV,Плевен,30.0,OK OK OK OK OK OK WA WA WA WA WA WA WA WA WA WA WA WA WA WA,0.003,0.0,WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA,0.003,0.0,WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA,0.126,30.0
DJS,София,0.0,TL TL TL TL TL TL TL TL WA WA WA WA WA WA WA TL TL WA WA WA,N/A,0.0,WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA,0.003,25.0,WA WA WA WA WA WA WA OK OK WA WA WA WA WA WA OK WA OK OK TL,N/A,25.0
