име,град,red-score,red-verdict,red-max-time,sort-score,sort-verdict,sort-max-time,winter-score,winter-verdict,winter-max-time,точки
AIC,София,75.0,OK OK WA OK WA OK WA OK OK OK OK OK OK OK WA OK WA OK OK OK,0.119,46.15384615384615,WA WA OK OK OK OK OK WA TL TL OK TL TL,N/A,60.0,OK OK OK OK OK OK OK OK OK OK OK OK TL TL TL TL TL TL TL TL,N/A,181.15384615384616
DAC,Пловдив,100.0,OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK,0.303,30.76923076923077,OK WA WA WA WA WA WA WA TL TL OK OK OK,N/A,50.0,OK OK OK OK OK OK OK OK OK OK TL TL TL TL TL RE RE RE RE RE,N/A,180.76923076923077
SNB,Шумен,40.0,WA RE WA WA WA RE RE OK OK OK OK OK OK OK WA RE RE WA RE OK,N/A,38.46153846153846,OK WA WA WA OK WA WA WA TL TL OK OK OK,N/A,90.0,OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK WA WA OK OK,0.379,168.46153846153845
PGP,София,40.0,WA WA WA WA WA WA WA OK OK OK OK OK OK OK WA WA WA WA WA OK,0.176,23.076923076923077,WA WA WA WA WA WA WA WA WA WA OK OK OK,0.056,100.0,OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK,0.134,163.0769230769231
LLK,Варна,100.0,OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK,0.081,23.076923076923077,WA WA WA WA WA WA WA WA WA WA OK OK OK,0.018,30.0,OK OK OK OK OK OK TL TL TL TL TL TL TL TL RE RE RE RE RE RE,N/A,153.0769230769231
MGM,Велико Търново,55.0,OK RE OK RE OK RE RE RE OK OK OK OK OK OK OK RE RE OK RE RE,N/A,84.61538461538461,OK OK OK OK OK OK OK OK RE RE OK OK OK,N/A,5.0,WA WA WA WA OK WA WA WA WA WA WA WA WA WA WA TL TL RE RE RE,N/A,144.6153846153846
CII,София,40.0,WA WA WA WA WA WA WA OK OK OK OK OK OK OK WA WA WA WA WA OK,0.055,23.076923076923077,WA WA WA WA WA WA WA WA WA WA OK OK OK,0.013,75.0,OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK TL TL TL TL TL,N/A,138.0769230769231
IBB,Шумен,30.0,OK TL OK OK OK TL TL WA WA WA WA WA WA WA OK TL TL OK TL WA,N/A,23.076923076923077,WA WA WA WA WA WA WA WA WA WA OK OK OK,0.027,85.0,OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK TL TL OK TL,N/A,138.0769230769231
AII,Габрово,100.0,OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK,0.345,23.076923076923077,WA WA WA WA WA WA WA WA WA WA OK OK OK,0.037,15.0,WA OK OK TL OK TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL,N/A,138.0769230769231
EDD,София,70.0,OK TL OK OK OK TL TL OK OK OK OK OK OK OK OK TL TL OK TL OK,N/A,30.76923076923077,WA WA WA WA OK WA WA WA TL TL OK OK OK,N/A,35.0,OK OK OK OK OK OK OK TL TL TL TL TL TL TL TL TL TL TL TL TL,N/A,135.76923076923077
IYS,Шумен,15.0,OK WA WA WA WA WA WA OK WA WA WA WA WA WA WA WA WA OK WA WA,0.1,23.076923076923077,WA WA WA WA WA WA WA WA TL TL OK OK OK,N/A,90.0,OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK WA WA OK OK,0.312,128.0769230769231
TSS,Варна,100.0,OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK,0.145,23.076923076923077,WA WA WA WA WA WA WA WA WA WA OK OK OK,0.02,0,Compilation error,N/A,123.07692307692308
NSN,Ловеч,10.0,OK WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA OK WA WA,0.186,100.0,OK OK OK OK OK OK OK OK OK OK OK OK OK,0.02,10.0,OK WA WA TL OK TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL,N/A,120.0
MPM,Русе,65.0,OK TL OK OK OK TL TL OK OK OK OK TL OK OK OK TL TL OK TL OK,N/A,23.076923076923077,WA WA WA WA WA WA WA WA WA WA OK OK OK,0.041,25.0,OK OK OK TL OK OK TL TL TL TL TL TL RE RE RE RE RE RE RE RE,N/A,113.07692307692308
GAH,Ловеч,0.0,WA RE RE RE RE RE RE WA WA WA WA WA WA WA RE RE RE WA RE WA,N/A,100.0,OK OK OK OK OK OK OK OK OK OK OK OK OK,0.056,10.0,OK WA WA TL OK TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL,N/A,110.0
ICS,Ловеч,0.0,WA TL TL TL TL TL WA WA WA WA WA WA WA WA TL TL TL WA TL WA,N/A,100.0,OK OK OK OK OK OK OK OK OK OK OK OK OK,0.035,10.0,OK WA WA TL OK TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL,N/A,110.0
VYK,Велико Търново,0,Compilation error,N/A,100.0,OK OK OK OK OK OK OK OK OK OK OK OK OK,0.043,5.0,WA WA WA WA OK WA WA WA WA WA WA WA WA WA TL TL TL RE RE RE,N/A,105.0
TTT,Варна,55.0,OK OK OK OK OK OK TL OK WA WA WA WA WA WA OK OK TL OK OK WA,N/A,23.076923076923077,WA WA WA WA WA WA WA WA WA WA OK OK OK,0.004,20.0,OK WA WA WA OK OK WA WA OK WA WA WA TL TL TL TL RE RE RE RE,N/A,98.07692307692308
SCC,София,60.0,OK TL OK OK OK TL TL WA WA OK OK OK OK OK OK TL TL OK TL OK,N/A,23.076923076923077,WA WA WA TL TL TL TL TL TL TL OK OK OK,N/A,5.0,WA WA WA WA OK WA WA WA WA WA WA WA WA WA TL WA TL TL TL TL,N/A,88.07692307692308
BPA,Сливен,70.0,OK TL OK OK OK TL TL OK OK OK OK OK OK OK OK TL TL OK TL OK,N/A,0.0,WA WA WA WA WA WA WA WA WA WA WA WA WA,0.025,0.0,TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL,N/A,70.0
IKK,Враца,40.0,WA WA WA WA WA WA WA OK OK OK OK OK OK OK WA WA WA WA WA OK,0.082,23.076923076923077,WA WA WA WA WA WA WA WA WA WA OK OK OK,0.082,0,Compilation error,N/A,63.07692307692308
KEM,Бургас,20.0,WA RE WA RE WA RE RE WA OK RE WA RE OK OK WA RE RE WA RE OK,N/A,30.76923076923077,OK WA WA WA WA WA WA WA TL TL OK OK OK,N/A,0,Compilation error,N/A,50.769230769230774
DDM,Враца,20.0,WA TL WA WA TL TL TL OK OK OK TL TL OK TL WA TL TL WA TL TL,N/A,23.076923076923077,WA WA WA WA WA WA WA WA WA WA OK OK OK,0.027,0.0,RE RE RE RE RE RE RE RE RE RE RE RE RE RE RE RE RE RE RE RE,N/A,43.07692307692308
SIS,Варна,5.0,WA WA WA WA WA WA WA OK WA WA WA WA WA WA WA WA WA WA WA WA,0.072,23.076923076923077,WA WA WA WA WA WA WA WA WA WA OK OK OK,0.043,10.0,WA WA WA WA OK OK WA WA WA WA TL WA TL TL TL TL TL TL TL TL,N/A,38.07692307692308
AOS,София,0,Compilation error,N/A,30.76923076923077,OK WA WA WA WA WA WA WA WA WA OK OK OK,0.034,0,Compilation error,N/A,30.76923076923077
KKI,Варна,0.0,RE RE RE RE RE RE RE RE RE RE RE RE RE RE RE RE RE RE RE RE,N/A,23.076923076923077,WA WA WA WA WA WA WA WA WA WA OK OK OK,0.041,5.0,OK WA WA TL WA TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL,N/A,28.076923076923077
KKI,Пловдив,0,Compilation error,N/A,23.076923076923077,WA WA WA WA WA WA WA WA WA WA OK OK OK,0.014,0,Compilation error,N/A,23.076923076923077
IPK,Шумен,0.0,WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA,0.087,23.076923076923077,WA WA WA WA WA WA WA WA WA WA OK OK OK,0.029,0.0,WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA RE RE RE RE,N/A,23.076923076923077
DDK,Бургас,0,Compilation error,N/A,23.076923076923077,WA WA WA WA WA WA WA WA WA WA OK OK OK,0.041,0,Compilation error,N/A,23.076923076923077
ETY,Велико Търново,0.0,WA WA WA WA WA WA WA WA WA WA WA TL WA WA WA WA WA WA WA WA,N/A,0.0,WA WA WA WA WA WA WA WA TL TL WA WA WA,N/A,10.0,WA WA WA WA OK OK WA WA WA WA WA WA WA WA WA WA WA WA WA WA,0.131,10.0
MDD,Враца,0,Compilation error,N/A,7.6923076923076925,WA WA WA WA WA WA WA WA WA WA WA OK WA,0.026,0,Compilation error,N/A,7.6923076923076925
IIS,Самоков,0,Compilation error,N/A,0.0,WA WA WA WA WA WA WA WA TL TL WA WA WA,N/A,0,Compilation error,N/A,0.0
ILN,Самоков,0.0,WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA,0.01,0.0,WA WA WA WA WA WA WA WA WA WA WA WA WA,0.067,0.0,WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA,0.009,0.0
YLP,Кюстендил,0,Compilation error,N/A,0.0,WA WA TL TL TL TL TL WA TL TL WA WA WA,N/A,0,Compilation error,N/A,0.0
GVT,Самоков,0.0,WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA,0.005,0.0,WA WA WA WA WA WA WA WA WA WA WA WA WA,0.026,0.0,WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA,0.007,0.0
VIK,Русе,0,Compilation error,N/A,0.0,TL TL TL TL TL TL TL TL TL TL TL TL TL,N/A,0,Compilation error,N/A,0.0
VYT,Бургас,0,Compilation error,N/A,0,Compilation error,N/A,0,Compilation error,N/A,0
