name,city,korridor-score,korridor-verdict,korridor-max-time,paint-score,paint-verdict,paint-max-time,progres-score,progres-verdict,progres-max-time,score
BII,Pleven,0,Compilation error,N/A,100.0,OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK,0.046,44.0,OK OK OK OK OK OK OK OK OK OK TL WA WA OK TL WA WA WA WA WA WA WA WA WA WA,N/A,144.0
MKD,Sofia,0,Compilation error,N/A,100.0,OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK,0.443,32.0,OK OK OK OK OK WA OK WA WA WA WA WA WA OK WA WA WA WA WA OK WA WA WA WA WA,0.196,132.0
DAC,Plovdiv,0,Compilation error,N/A,95.0,OK OK OK OK OK OK OK OK OK OK OK OK WA OK OK OK OK OK OK OK,0.049,36.0,OK OK WA OK OK WA WA WA WA WA WA WA WA OK OK OK OK OK WA WA WA WA WA WA WA,0.106,131.0
BSD,Burgas,0,Compilation error,N/A,75.0,OK OK OK OK OK OK OK OK OK OK OK OK OK TL OK OK TL TL TL TL,N/A,56.0,OK OK OK OK OK OK OK OK OK OK OK TL TL OK TL OK OK TL TL TL TL TL TL TL TL,N/A,131.0
TPH,Sofia,0,Compilation error,N/A,95.0,OK OK OK OK OK OK OK OK OK OK OK OK WA OK OK OK OK OK OK OK,0.126,24.0,OK OK OK OK OK WA WA WA WA WA WA TL TL OK TL WA WA TL TL TL TL TL TL TL TL,N/A,119.0
MSM,Gabrovo,0,Compilation error,N/A,100.0,OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK,0.169,16.0,OK OK WA OK WA WA WA WA WA WA WA WA WA OK WA WA WA WA WA WA WA WA WA WA WA,0.006,116.0
SPT,Sofia,0,Compilation error,N/A,50.0,WA OK OK OK OK OK OK WA WA WA OK OK OK OK WA WA WA WA WA WA,0.336,56.0,OK OK OK OK OK OK OK OK OK OK OK TL TL OK TL OK OK TL TL TL TL TL TL TL TL,N/A,106.0
DDC,Sofia,0,Compilation error,N/A,5.0,WA WA WA WA WA WA WA WA WA WA OK WA WA TL WA WA TL TL TL TL,N/A,100.0,OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK,0.499,105.0
IMS,Sofia,0,Compilation error,N/A,5.0,WA WA WA WA WA WA WA WA WA WA OK WA WA WA WA WA WA WA WA WA,0.026,100.0,OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK,0.046,105.0
AII,Gabrovo,0,Compilation error,N/A,0.0,WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA,0.219,100.0,OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK,0.029,100.0
IAD,Sofia,0,Compilation error,N/A,0.0,TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL,N/A,100.0,OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK,0.046,100.0
VPV,Gabrovo,0,Compilation error,N/A,0.0,TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL,N/A,100.0,OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK,0.019,100.0
HHT,VTarnovo,0,Compilation error,N/A,100.0,OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK,0.096,0.0,WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA,0.006,100.0
ARR,StaraZagora,0,Compilation error,N/A,95.0,OK OK OK OK OK OK OK OK OK OK OK OK WA OK OK OK OK OK OK OK,0.123,0,Compilation error,N/A,95.0
AEG,Sofia,0,Compilation error,N/A,90.0,OK OK OK OK OK OK OK OK OK OK OK OK WA TL OK OK OK OK OK OK,N/A,0.0,WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA,0.003,90.0
GCS,Varna,0,Compilation error,N/A,90.0,OK OK OK OK OK OK OK OK OK OK OK OK WA OK OK OK OK TL OK OK,N/A,0.0,WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA,0.003,90.0
TTT,Varna,0,Compilation error,N/A,5.0,WA WA WA WA WA WA WA WA WA WA OK WA WA WA WA WA WA WA WA WA,0.579,76.0,OK OK OK OK OK OK OK OK OK OK OK OK WA OK OK OK OK OK OK OK WA WA WA WA WA,0.049,81.0
