name,city,bio-score,bio-verdict,bio-max-time,degrees-score,degrees-verdict,degrees-max-time,dentist-score,dentist-verdict,dentist-max-time,score
JAG,Yambol,10.0,WA WA WA WA WA WA WA WA WA WA WA OK WA WA WA WA OK WA WA WA,0.003,25.0,OK OK OK OK WA WA WA WA WA WA OK WA WA WA WA WA WA WA WA WA,0.019,100.0,OK OK OK OK OK OK OK OK OK OK,0.003,135.0
BIG,Sofia,10.0,WA WA WA WA WA WA WA WA WA WA WA OK WA WA WA WA OK WA WA WA,0.003,25.0,OK OK OK OK WA WA WA WA WA WA OK WA WA WA WA WA WA WA WA WA,0.019,100.0,OK OK OK OK OK OK OK OK OK OK,0.003,135.0
MMK,Pleven,5.0,WA WA WA WA OK WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA,0.003,25.0,OK OK OK OK WA WA WA WA WA WA OK WA WA WA WA WA WA WA WA WA,0.019,100.0,OK OK OK OK OK OK OK OK OK OK,0.003,130.0
MEI,Varna,100.0,OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK,0.003,25.0,OK OK OK OK WA WA WA WA WA WA OK WA WA WA WA WA WA WA WA WA,0.019,0,Compilation error,N/A,125.0
SAGG,Varna,0.0,WA TL TL WA TL WA TL WA TL TL TL TL TL TL TL TL TL TL TL TL,N/A,25.0,OK OK OK OK TL TL TL TL TL TL OK TL TL TL TL TL TL TL TL TL,N/A,100.0,OK OK OK OK OK OK OK OK OK OK,0.003,125.0
VBM,Sofia,0.0,WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA,0.003,25.0,OK OK OK OK TL WA TL TL WA TL OK TL WA TL TL TL TL TL TL TL,N/A,100.0,OK OK OK OK OK OK OK OK OK OK,0.003,125.0
YRV,Pleven,0.0,WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA,0.003,25.0,OK OK OK OK TL TL TL TL TL TL OK TL TL TL TL TL TL TL TL TL,N/A,100.0,OK OK OK OK OK OK OK OK OK OK,0.003,125.0
ASS,Varna,0.0,WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA,0.003,25.0,OK OK OK OK TL TL TL TL TL TL OK TL TL TL TL TL TL TL TL TL,N/A,100.0,OK OK OK OK OK OK OK OK OK OK,0.003,125.0
EPV,Dobrich,0.0,TL WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA,N/A,25.0,OK OK OK OK WA WA WA WA WA WA OK WA WA WA WA WA WA WA WA WA,0.019,100.0,OK OK OK OK OK OK OK OK OK OK,0.003,125.0
DRP,Varna,85.0,OK OK OK OK OK OK OK OK OK OK OK WA OK OK OK OK OK OK WA WA,0.003,35.0,OK OK OK OK OK TL TL TL TL TL OK TL TL TL TL TL TL OK TL TL,N/A,0.0,WA WA WA WA WA WA WA WA WA WA,0.003,120.0
RNH,Yambol,0.0,WA TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL,N/A,100.0,OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK,0.179,20.0,OK OK WA WA WA WA WA WA WA WA,0.003,120.0
GSZ,Blagoevgrad,5.0,OK WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA,0.003,0.0,TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL WA TL TL,N/A,100.0,OK OK OK OK OK OK OK OK OK OK,0.003,105.0
NDG,Sofia,80.0,WA OK OK OK OK OK OK OK OK OK OK WA OK OK OK OK OK OK WA WA,0.003,25.0,OK OK OK OK WA WA WA WA WA WA OK WA WA WA WA WA WA WA WA WA,0.019,0.0,WA WA WA WA WA WA WA WA WA WA,0.003,105.0
CVM,Varna,0,Compilation error,N/A,0,Compilation error,N/A,100.0,OK OK OK OK OK OK OK OK OK OK,0.003,100.0
RLB,Blagoevgrad,0,Compilation error,N/A,0.0,WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA,0.016,100.0,OK OK OK OK OK OK OK OK OK OK,0.003,100.0
KCC,Varna,0.0,TL TL TL TL TL TL TL TL TL TL TL WA TL TL TL TL TL TL TL TL,N/A,0.0,TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL,N/A,100.0,OK OK OK OK OK OK OK OK OK OK,0.003,100.0
DMK,Varna,0.0,WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA,0.003,25.0,OK OK OK OK WA WA WA WA WA WA OK WA WA WA WA WA WA WA WA WA,0.019,70.0,OK OK OK WA OK WA OK WA OK OK,0.003,95.0
TMD,Sofia,10.0,WA WA WA WA WA WA WA WA WA WA WA OK WA WA WA WA OK WA WA WA,0.003,0.0,WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA,0.019,80.0,OK OK OK OK OK WA OK OK OK WA,0.006,90.0
ISS,Plovdiv,80.0,OK OK OK OK OK OK OK OK OK OK OK WA WA OK OK OK OK OK WA WA,0.003,5.0,OK WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA,0.019,0,Compilation error,N/A,85.0
NGS,Sofia,85.0,WA OK OK OK OK OK OK OK OK OK OK WA OK OK OK OK WA OK OK OK,0.003,0.0,TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL,N/A,0.0,WA WA WA WA WA WA WA WA WA WA,0.003,85.0
RNK,Varna,85.0,OK OK OK OK OK OK OK WA OK OK OK OK OK OK OK OK OK OK WA WA,0.003,0.0,WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA,0.016,0,Compilation error,N/A,85.0
MGM,Plovdiv,0.0,WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA,0.003,25.0,OK OK OK OK TL TL TL TL TL TL OK TL TL TL TL TL TL TL TL TL,N/A,50.0,OK WA OK WA OK WA OK WA OK WA,0.016,75.0
ISP,Sofia,0.0,WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA,0.006,75.0,OK OK OK OK OK OK OK OK WA WA OK OK OK OK WA WA WA OK OK OK,0.016,0.0,WA WA WA WA WA WA WA WA WA WA,0.003,75.0
