name,city,cards-score,cards-verdict,cards-max-time,game-score,game-verdict,game-max-time,palindromes-score,palindromes-verdict,palindromes-max-time,score
OYM,Sofia,90.0,WA OK OK OK OK OK OK WA OK OK OK OK OK OK OK OK OK OK OK OK,0.106,96.0,OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK WA OK,0.003,5.0,OK WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA,0.033,191.0
DTP,Pleven,5.0,WA WA OK WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA,0.099,84.0,OK OK WA OK OK OK OK WA OK OK WA OK OK OK OK OK OK OK OK OK WA OK OK OK OK,0.003,100.0,OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK,0.043,189.0
VDT,Ruse,100.0,OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK,0.103,60.0,OK OK WA OK OK OK OK WA OK OK WA TL WA OK WA WA WA OK OK OK WA OK OK TL OK,N/A,25.0,WA WA WA OK OK WA WA WA WA OK OK WA OK WA WA WA WA WA WA WA,0.003,185.0
YPV,Sofia,40.0,OK OK OK OK WA OK OK OK OK WA WA WA WA WA WA WA WA WA WA WA,0.109,64.0,OK OK WA OK OK OK OK WA OK OK WA OK WA WA WA WA WA OK OK OK WA OK OK OK OK,0.003,75.0,WA WA WA WA OK OK OK OK OK OK OK WA OK OK OK OK OK OK OK OK,0.026,179.0
NDD,Sofia,5.0,WA WA OK WA WA WA WA WA WA WA WA WA WA WA WA WA WA TL TL TL,N/A,76.0,OK OK OK OK OK OK OK OK OK OK OK TL WA OK WA WA WA OK OK OK OK OK OK TL OK,N/A,95.0,OK OK OK WA OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK,0.019,176.0
MVK,Plovdiv,5.0,WA WA OK WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA,0.106,76.0,OK OK OK OK OK OK OK OK OK OK OK WA WA OK WA WA WA OK OK OK OK OK OK WA OK,0.003,85.0,WA WA OK OK OK WA OK OK OK OK OK OK OK OK OK OK OK OK OK OK,0.019,166.0
GND,Varna,15.0,WA OK OK WA WA OK WA WA WA WA WA WA WA WA WA WA WA WA WA WA,0.109,76.0,OK OK WA OK OK WA OK WA OK OK WA OK OK OK OK OK WA OK OK OK WA OK OK OK OK,0.003,75.0,WA WA WA WA OK OK OK OK OK OK OK WA OK OK OK OK OK OK OK OK,0.019,166.0
EEB,Sofia,35.0,OK OK OK WA WA WA WA OK OK OK OK WA WA WA WA WA WA WA WA WA,0.109,100.0,OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK,0.003,5.0,WA WA WA OK WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA,0.003,140.0
PRD,Varna,0.0,WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA,0.106,52.0,OK OK OK OK OK WA OK WA OK WA WA TL WA WA WA WA WA WA OK OK OK OK OK TL OK,N/A,85.0,WA WA OK OK OK WA OK OK OK OK OK OK OK OK OK OK OK OK OK OK,0.049,137.0
YAA,Sofia,20.0,WA OK OK OK WA OK WA WA WA WA WA WA WA WA WA WA WA WA WA WA,0.103,100.0,OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK,0.003,0.0,WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA,0.133,120.0
