name,city,cards-score,cards-verdict,cards-max-time,game-score,game-verdict,game-max-time,palindromes-score,palindromes-verdict,palindromes-max-time,score
SJS,Shumen,0,Compilation error,N/A,0,Compilation error,N/A,0,Compilation error,N/A,0
INV,Plovdiv,0,Compilation error,N/A,0,Compilation error,N/A,0,Compilation error,N/A,0
BTN,Shumen,0,Compilation error,N/A,0,Compilation error,N/A,0,Compilation error,N/A,0
KMA,Sofia,0.0,WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA,0.003,0,Compilation error,N/A,0,Compilation error,N/A,0.0
KBA,Pleven,0,Compilation error,N/A,0.0,WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA,0.003,0.0,WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA,0.003,0.0
ADD,Pleven,0.0,WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA,0.003,0.0,WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA,0.003,0.0,WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA,0.003,0.0
PDP,Pleven,0,Compilation error,N/A,0.0,WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA,0.003,0.0,TL TL TL TL TL TL TL TL WA TL TL TL TL TL TL TL TL TL TL TL,N/A,0.0
BIZ,Varna,0,Compilation error,N/A,0.0,TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL,N/A,0,Compilation error,N/A,0.0
LBI,Sofia,0,Compilation error,N/A,0,Compilation error,N/A,0,Compilation error,N/A,0
VKI,Varna,0.0,WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA,0.099,0.0,WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA,0.003,0.0,TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL,N/A,0.0
SPM,Pleven,0.0,WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA,0.003,0,Compilation error,N/A,0,Compilation error,N/A,0.0
SVP,Varna,0,Compilation error,N/A,0.0,WA WA WA WA WA WA WA WA WA WA WA TL WA WA WA WA WA WA WA WA WA WA WA TL WA,N/A,0,Compilation error,N/A,0.0
HDM,Varna,0.0,WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA,0.069,0.0,WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA,0.003,0,Compilation error,N/A,0.0
PIU,Plovdiv,0,Compilation error,N/A,0,Compilation error,N/A,0,Compilation error,N/A,0
VEK,Plovdiv,0,Compilation error,N/A,0,Compilation error,N/A,0.0,WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA,0.003,0.0
MJJ,Shumen,0,Compilation error,N/A,0,Compilation error,N/A,0,Compilation error,N/A,0
TSP,Pleven,0.0,WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA,0.076,0.0,WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA,0.003,0.0,WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA,0.003,0.0
GIS,Kardjali,0,Compilation error,N/A,0,Compilation error,N/A,0,Compilation error,N/A,0
NNS,Shumen,0.0,WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA,0.003,0,Compilation error,N/A,0,Compilation error,N/A,0.0
SMM,Shumen,0.0,WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA,0.003,0.0,WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA,0.003,0,Compilation error,N/A,0.0
HMG,Sofia,0.0,WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA,0.003,0.0,TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL,N/A,0.0,WA WA WA TL WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA,N/A,0.0
